Baldwin,GARY JOHNSON,North Milledgeville,33.0
Baldwin,GARY JOHNSON,Scottsboro,8.0
Baldwin,GARY JOHNSON,South Milledgeville,24.0
Baldwin,GARY JOHNSON,West Baldwin,31.0
Baldwin,GARY JOHNSON,West Hardwick,24.0
Baldwin,HILLARY CLINTON,Boddie,534.0
Baldwin,HILLARY CLINTON,City Hall Annex,303.0
Baldwin,HILLARY CLINTON,Coopers,273.0
Baldwin,HILLARY CLINTON,Courthouse,167.0
Baldwin,HILLARY CLINTON,East Baldwin,1011.0
Baldwin,HILLARY CLINTON,East Hardwick,532.0
Baldwin,HILLARY CLINTON,Fire Dept,643.0
Baldwin,HILLARY CLINTON,Meriweather,604.0
Baldwin,HILLARY CLINTON,North Baldwin,615.0
Baldwin,HILLARY CLINTON,North Milledgeville,669.0
Baldwin,HILLARY CLINTON,Scottsboro,219.0
Baldwin,HILLARY CLINTON,South Milledgeville,524.0
Baldwin,HILLARY CLINTON,West Baldwin,539.0
Baldwin,HILLARY CLINTON,West Hardwick,1337.0
Banks,DONALD J. TRUMP,Anderson,737.0
Banks,DONALD J. TRUMP,Baldwin,433.0
Banks,DONALD J. TRUMP,Berlin,188.0
Banks,DONALD J. TRUMP,Bushville,374.0
Banks,DONALD J. TRUMP,Columbia,224.0
Banks,DONALD J. TRUMP,Davids,821.0
Banks,DONALD J. TRUMP,Golden Hill,410.0
Banks,DONALD J. TRUMP,Grove River,309.0
Banks,DONALD J. TRUMP,Hollingsworth,368.0
Banks,DONALD J. TRUMP,Homer,746.0
Banks,DONALD J. TRUMP,Poplar Springs,839.0
Banks,DONALD J. TRUMP,Washington,343.0
Banks,DONALD J. TRUMP,Wilmonts,342.0
Banks,GARY JOHNSON,Anderson,17.0
Banks,GARY JOHNSON,Baldwin,8.0
Banks,GARY JOHNSON,Berlin,1.0
Banks,GARY JOHNSON,Bushville,11.0
Banks,GARY JOHNSON,Columbia,4.0
Banks,GARY JOHNSON,Davids,27.0
Banks,GARY JOHNSON,Golden Hill,8.0
Banks,GARY JOHNSON,Grove River,4.0
Banks,GARY JOHNSON,Hollingsworth,6.0
Banks,GARY JOHNSON,Homer,16.0
Banks,GARY JOHNSON,Poplar Springs,18.0
Banks,GARY JOHNSON,Washington,8.0
Banks,GARY JOHNSON,Wilmonts,4.0
Banks,HILLARY CLINTON,Anderson,84.0
Banks,HILLARY CLINTON,Baldwin,67.0
Banks,HILLARY CLINTON,Berlin,17.0
Banks,HILLARY CLINTON,Bushville,29.0
Banks,HILLARY CLINTON,Columbia,21.0
Banks,HILLARY CLINTON,Davids,103.0
Banks,HILLARY CLINTON,Golden Hill,57.0
Banks,HILLARY CLINTON,Grove River,21.0
Banks,HILLARY CLINTON,Hollingsworth,48.0
Banks,HILLARY CLINTON,Homer,80.0
Banks,HILLARY CLINTON,Poplar Springs,79.0
Banks,HILLARY CLINTON,Washington,48.0
Banks,HILLARY CLINTON,Wilmonts,30.0
Barrow,DONALD J. TRUMP,01 Bethlehem Community Center,1339.0
Barrow,DONALD J. TRUMP,02 Bethabra Baptist Church,1775.0
Barrow,DONALD J. TRUMP,03 Bramlett Elementary School,1318.0
Barrow,DONALD J. TRUMP,04 Westside Middle School,1117.0
Barrow,DONALD J. TRUMP,05 Fire Station 1 (Statham),2009.0
Barrow,DONALD J. TRUMP,06 Winder Barrow High School,908.0
Barrow,DONALD J. TRUMP,07 Statham Elementary School,1048.0
Barrow,DONALD J. TRUMP,08 First Baptist Church Winder,1444.0
Barrow,DONALD J. TRUMP,09 Lions Club,1634.0
Barrow,DONALD J. TRUMP,10 Leisure Services Center,761.0
Barrow,DONALD J. TRUMP,11 Apalachee High School,1277.0
Barrow,DONALD J. TRUMP,12 Midway United Methodist Church,1272.0
Barrow,DONALD J. TRUMP,13 Winder Community Center,978.0
Barrow,DONALD J. TRUMP,14 Cedar Creek Baptist Church,577.0
Barrow,DONALD J. TRUMP,15 County Line Elementary School,1604.0
Barrow,DONALD J. TRUMP,16 The Church at Winder,2047.0
Barrow,GARY JOHNSON,01 Bethlehem Community Center,73.0
Barrow,GARY JOHNSON,02 Bethabra Baptist Church,61.0
Barrow,GARY JOHNSON,03 Bramlett Elementary School,74.0
Barrow,GARY JOHNSON,04 Westside Middle School,62.0
Barrow,GARY JOHNSON,05 Fire Station 1 (Statham),95.0
Barrow,GARY JOHNSON,06 Winder Barrow High School,43.0
Barrow,GARY JOHNSON,07 Statham Elementary School,56.0
Barrow,GARY JOHNSON,08 First Baptist Church Winder,79.0
Barrow,GARY JOHNSON,09 Lions Club,65.0
Barrow,GARY JOHNSON,10 Leisure Services Center,54.0
Barrow,GARY JOHNSON,11 Apalachee High School,100.0
Barrow,GARY JOHNSON,12 Midway United Methodist Church,71.0
Barrow,GARY JOHNSON,13 Winder Community Center,81.0
Barrow,GARY JOHNSON,14 Cedar Creek Baptist Church,32.0
Barrow,GARY JOHNSON,15 County Line Elementary School,46.0
Barrow,GARY JOHNSON,16 The Church at Winder,151.0
Barrow,HILLARY CLINTON,01 Bethlehem Community Center,365.0
Barrow,HILLARY CLINTON,02 Bethabra Baptist Church,423.0
Barrow,HILLARY CLINTON,03 Bramlett Elementary School,337.0
Barrow,HILLARY CLINTON,04 Westside Middle School,284.0
Barrow,HILLARY CLINTON,05 Fire Station 1 (Statham),645.0
Barrow,HILLARY CLINTON,06 Winder Barrow High School,278.0
Barrow,HILLARY CLINTON,07 Statham Elementary School,490.0
Barrow,HILLARY CLINTON,08 First Baptist Church Winder,328.0
Barrow,HILLARY CLINTON,09 Lions Club,417.0
Barrow,HILLARY CLINTON,10 Leisure Services Center,577.0
Barrow,HILLARY CLINTON,11 Apalachee High School,466.0
Barrow,HILLARY CLINTON,12 Midway United Methodist Church,287.0
Barrow,HILLARY CLINTON,13 Winder Community Center,329.0
Barrow,HILLARY CLINTON,14 Cedar Creek Baptist Church,124.0
Barrow,HILLARY CLINTON,15 County Line Elementary School,295.0
Barrow,HILLARY CLINTON,16 The Church at Winder,935.0
Bartow,DONALD J. TRUMP,ADAIRSVILLE,2838.0
Bartow,DONALD J. TRUMP,ALLATOONA,1624.0
Bartow,DONALD J. TRUMP,BEAVERS DRIVE,2447.0
Bartow,DONALD J. TRUMP,CARTERSVILLE EAST,2309.0
Bartow,DONALD J. TRUMP,CARTERSVILLE WEST,2933.0
Bartow,DONALD J. TRUMP,CASSVILLE,2000.0
Bartow,DONALD J. TRUMP,CENTER,1826.0
Bartow,DONALD J. TRUMP,EMERSON,1380.0
Bartow,DONALD J. TRUMP,EUHARLEE,1660.0
Bartow,DONALD J. TRUMP,FOLSOM,698.0
Bartow,DONALD J. TRUMP,KINGSTON,1252.0
Bartow,DONALD J. TRUMP,MISSION ROAD,2521.0
Bartow,DONALD J. TRUMP,PINE LOG,1084.0
Bartow,DONALD J. TRUMP,TAYLORSVILLE,1482.0
Bartow,DONALD J. TRUMP,WHITE,1326.0
Bartow,DONALD J. TRUMP,WOODLAND HIGH,658.0
Bartow,DONALD J. TRUMP,ZENA DRIVE,1873.0
Bartow,GARY JOHNSON,ADAIRSVILLE,99.0
Bartow,GARY JOHNSON,ALLATOONA,75.0
Bartow,GARY JOHNSON,BEAVERS DRIVE,84.0
Bartow,GARY JOHNSON,CARTERSVILLE EAST,129.0
Bartow,GARY JOHNSON,CARTERSVILLE WEST,115.0
Bartow,GARY JOHNSON,CASSVILLE,92.0
Bartow,GARY JOHNSON,CENTER,71.0
Bartow,GARY JOHNSON,EMERSON,55.0
Bartow,GARY JOHNSON,EUHARLEE,77.0
Bartow,GARY JOHNSON,FOLSOM,16.0
Bartow,GARY JOHNSON,KINGSTON,35.0
Bartow,GARY JOHNSON,MISSION ROAD,82.0
Bartow,GARY JOHNSON,PINE LOG,37.0
Bartow,GARY JOHNSON,TAYLORSVILLE,36.0
Bartow,GARY JOHNSON,WHITE,49.0
Bartow,GARY JOHNSON,WOODLAND HIGH,23.0
Bartow,GARY JOHNSON,ZENA DRIVE,108.0
Bartow,HILLARY CLINTON,ADAIRSVILLE,565.0
Bartow,HILLARY CLINTON,ALLATOONA,433.0
Bartow,HILLARY CLINTON,BEAVERS DRIVE,613.0
Bartow,HILLARY CLINTON,CARTERSVILLE EAST,1084.0
Bartow,HILLARY CLINTON,CARTERSVILLE WEST,1193.0
Bartow,HILLARY CLINTON,CASSVILLE,734.0
Bartow,HILLARY CLINTON,CENTER,373.0
Bartow,HILLARY CLINTON,EMERSON,289.0
Bartow,HILLARY CLINTON,EUHARLEE,420.0
Bartow,HILLARY CLINTON,FOLSOM,60.0
Bartow,HILLARY CLINTON,KINGSTON,223.0
Bartow,HILLARY CLINTON,MISSION ROAD,648.0
Bartow,HILLARY CLINTON,PINE LOG,131.0
Bartow,HILLARY CLINTON,TAYLORSVILLE,159.0
Bartow,HILLARY CLINTON,WHITE,204.0
Bartow,HILLARY CLINTON,WOODLAND HIGH,146.0
Bartow,HILLARY CLINTON,ZENA DRIVE,937.0
Ben_Hill,DONALD J. TRUMP,East,1090.0
Ben_Hill,DONALD J. TRUMP,West,2649.0
Ben_Hill,GARY JOHNSON,East,28.0
Ben_Hill,GARY JOHNSON,West,63.0
Ben_Hill,HILLARY CLINTON,East,1114.0
Ben_Hill,HILLARY CLINTON,West,987.0
Berrien,DONALD J. TRUMP,Alapaha,529.0
Berrien,DONALD J. TRUMP,Enigma,516.0
Berrien,DONALD J. TRUMP,Nashville,2914.0
Berrien,DONALD J. TRUMP,Ray City,838.0
Berrien,DONALD J. TRUMP,West Berrien,625.0
Berrien,GARY JOHNSON,Alapaha,10.0
Berrien,GARY JOHNSON,Enigma,9.0
Berrien,GARY JOHNSON,Nashville,62.0
Berrien,GARY JOHNSON,Ray City,22.0
Berrien,GARY JOHNSON,West Berrien,12.0
Berrien,HILLARY CLINTON,Alapaha,196.0
Berrien,HILLARY CLINTON,Enigma,77.0
Berrien,HILLARY CLINTON,Nashville,565.0
